trip_number,pickup_location,dropoff_1,dropoff_2,dropoff_3,dropoff_4,dropoff_5,dropoff_6,dropoff_7,vehicle_plate_no,month_pickup,day_pickup
7300003545,8100 BCFG San Pedro,8350 ELISCO EXPORT,8174 BCFG DC Pinagbuhatan,NA,NA,NA,NA,NA,ALA7332,7,27
7300102451,8080 BCFG Canlubang,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,2214,11,8
7300098555,8420 South Mega DC,SUPERVALUE - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI,SUPER SM - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI CAMSUR DEP,NA,NA,NA,CAG 1537,11,8
7300100695,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,MCKENZIE DISTRIBUTION - LEGAZPI,NA,NA,NA,NA,NA,ADK5574,11,8
7300098996,8070 BCFG Calamba,KIMBERLIN ENTERPRISES - CAUAYAN,KIMBERLIN ENTERPRISES - UGAC,NA,NA,NA,NA,NA,ADK 5278,11,8
7300098720,8420 South Mega DC,SANFORD MARKETING - BACACAY,SAVEMORE - SORSOGON 2,SANFORD MARKETING - SORSOGON,NA,NA,NA,NA,2214,11,8
7300101716,8070 BCFG Calamba,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,MDP0979,11,9
7300093495,8060 BCFG Tarlac,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,RNL 379,11,4
7300093362,8070 BCFG Calamba,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,ABK 1717,11,6
7300080146,8070 BCFG Calamba,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,THR 247,10,30
7300071261,8420 South Mega DC,SUPERVALUE - LUCENA,MARKET STRATEGIC FIRM - SM LUCENA,NA,NA,NA,NA,NA,ACL2001,10,26
7300085235,8080 BCFG Canlubang,OCAMPO'S MARKETING INC.-SAN AGUSTIN,OCAMPO'S MARKETING INC.-SAN MIGUEL,NA,NA,NA,NA,NA,WPH 943,10,31
7300090321,8070 BCFG Calamba,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - CANDON,NA,NA,NA,NA,NA,WIV290,11,5
7300091121,8110 BCFG Cavite,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,CCN3362,11,5
7300092608,8330 BCFG GMA MEGA DC,SANFORD MARKETING - SAVER SQUARE CE,SANFORD MARKETING - MAMBUGAN,NA,NA,NA,NA,NA,AVA 3336,11,4
7300095324,8070 BCFG Calamba,PEOPLE'S DIST. SYSTEM CORP.-DAET,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,NA,NA,NA,NA,NA,BYM 6965,11,7
7300096051,8070 BCFG Calamba,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - LAOAG,NA,NA,NA,NA,NA,CAL9640,11,7
7300094762,8420 South Mega DC,BICOL EXCL'T SLS & TRADING-SORSOGON,SANFORD MARKETING - LESGAPI 2,NA,NA,NA,NA,NA,CAN2539,11,7
7300092647,8420 South Mega DC,"SANFORD MARKETING-STA. CRUZ, LAGUNA",SANFORD MARKETING - LB CENTRO,NA,NA,NA,NA,NA,CO4150,11,6
7300097848,8050 BCFG Pampanga,SALESFORCE ONE MKTG INC. -SAN JOSE2,SALESFORCE ONE MKTG INC. - SAN JOSE,NA,NA,NA,NA,NA,CAY4322,11,6
7300100999,8420 South Mega DC,SANFORD MARKETING - BANLIC DEPOT,SUPERVALUE - BANLIC DEPOT,NA,NA,NA,NA,NA,AAW 2546,11,9
7300108522,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - PROJECT 8,SUPER GROCERS INC. - NOVALICHES,NA,NA,NA,NA,NA,AFA 8008,11,10
7300098710,8420 South Mega DC,SUPERVALUE - LEGAZPI,SUPER SM - POLANGUI,PUREGOLD PRICE CLUB - IRIGA,NA,NA,NA,NA,AWA 5565,11,8
7300112630,8080 BCFG Canlubang,DMAYA PLUS ENTERPRISES-ISABELA,DMAYA PLUS ENTERPRISES-BAYOMBONG,NA,NA,NA,NA,NA,ALA 8129,11,11
7300110709,8420 South Mega DC,SUPERVALUE - CALAMBA,MARKET STRATEGIC FIRM - SM CALAMBA,NA,NA,NA,NA,NA,CAI2402,11,13
7300110758,8420 South Mega DC,SUPERVALUE - SAN PABLO,MAINSTREAM BUSINESS INC. - SM SAN P,NA,NA,NA,NA,NA,CBJ1275,11,13
7300112741,8080 BCFG Canlubang,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,CAO2980,11,14
7300111056,8070 BCFG Calamba,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - CANDON,NA,NA,NA,NA,NA,NBQ2185,11,13
7300108126,8070 BCFG Calamba,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,WIV290,11,12
7300115421,8050 BCFG Pampanga,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,PEOPLE'S DIST. SYSTEM CORP.-DAET,NA,NA,NA,NA,NA,CCO8153,11,13
7300109460,8420 South Mega DC,BICOL EXCL'T SLS & TRADING-LEGASPI,SANFORD MARKETING - LESGAPI 2,SUPERVALUE - LEGAZPI,NA,NA,NA,NA,RNE345,11,11
7300114762,8420 South Mega DC,SANFORD MARKETING - BACACAY,SANFORD MARKETING - SORSOGON,SAVEMORE - SORSOGON 2,NA,NA,NA,NA,CAL2655,11,16
7300112793,8050 BCFG Pampanga,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,BVU245,11,14
7300114803,8420 South Mega DC,SUPER SM - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI,NA,NA,NA,NA,NA,NBH7516,11,16
7300112652,8420 South Mega DC,MADISON SHOPPING PLAZA - SM BATANGA,SUPERVALUE - BATANGAS,NA,NA,NA,NA,NA,CXS 560,11,14
7300127466,8090 BCFG San Pablo,"MATRIX MASTER MKTG., INC.-SAN PABLO","MATRIX MASTER MKTG., INC. - LOWER L",NA,NA,NA,NA,NA,AC8 327,11,18
7300158070,8060 BCFG Tarlac,CSI WHSE CLUB INC/CSI CITY MAIN,CSI MAIN,NA,NA,NA,NA,NA,CDK 2860,11,27
7300151047,8060 BCFG Tarlac,CSI MAIN,CSI WHSE CLUB INC/CSI CITY MAIN,NA,NA,NA,NA,NA,CDK 2860,11,25
7300158169,8070 BCFG Calamba,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - LAOAG,NA,NA,NA,NA,NA,CAE3151,11,28
7300154659,8020 BCFG MCD,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - LAOAG,NA,NA,NA,NA,NA,CAU2678,11,26
7300150826,8420 South Mega DC,SUPERVALUE - ROSARIO CAVITE,MLA SOUTHERN ASS. INC. - SM ROSARIO,NA,NA,NA,NA,NA,ABC 7653,11,27
7300156923,8420 South Mega DC,GAISANO CAPITAL - IRIGA,BICOL EXCL'T SLS & TRADING-LEGASPI,SANFORD MARKETING - BACACAY,PUREGOLD PRICE CLUB - IRIGA,NA,NA,NA,NBB7640,11,30
7300158096,8090 BCFG San Pablo,LAOAG SOLID 8 - BANTAY,LAOAG SOLID 8 - CANDON,NA,NA,NA,NA,NA,WKQ858,11,27
7300161341,8060 BCFG Tarlac,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,BVU 237,11,28
7300158168,8070 BCFG Calamba,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,AMA 2879,11,28
7300157416,8420 South Mega DC,SAVEMORE - SORSOGON 2,SANFORD MARKETING - SORSOGON,NA,NA,NA,NA,NA,CAJ 5730,11,30
7300164284,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - MOONWALK,SUPER GROCERS INC. - SOLDIER HILLS,SUPER GROCERS INC. - LAKEVIEW,NA,NA,NA,NA,TJQ 712,11,20
7300164281,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - FAIRVIEW 2,SUPER GROCERS INC. - FAIRVIEW,NA,NA,NA,NA,NA,RJU 118,11,20
7300132078,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - CENTRAL WHSE,SUPER GROCERS INC. - PROJECT 8,NA,NA,NA,NA,NA,AFA 8008,11,19
7300157232,8420 South Mega DC,SUPERVALUE - NAGA,PUREGOLD PRICE CLUB - NAGA,NA,NA,NA,NA,NA,NAK9463,11,30
7300162387,8020 BCFG MCD,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,AMA 2789,11,29
7300164273,8070 BCFG Calamba,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,CAL7887,11,30
7300157069,8420 South Mega DC,SUPERVALUE - LEGAZPI,SANFORD MARKETING - LESGAPI 2,BICOL EXCL'T SLS & TRADING-LEGASPI,PUREGOLD PRICE CLUB - LEGASPI,NA,NA,NA,NAE5245,11,30
7300164274,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - BAMBANG,SUPER GROCERS INC. - TAYUMAN,NA,NA,NA,NA,NA,ALA 7407,11,30
7300095925,8060 BCFG Tarlac,OCAMPO'S MARKETING INC.-SAN AGUSTIN,OCAMPO'S MARKETING INC.-SAN MIGUEL,NA,NA,NA,NA,NA,CAC7868,11,5
7300099076,8020 BCFG MCD,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,CAE4753,11,6
7300099007,8070 BCFG Calamba,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,ABK 4926,11,8
7300099076,8020 BCFG MCD,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,CAE4753,11,6
7300100999,8420 South Mega DC,SANFORD MARKETING - BANLIC DEPOT,SUPERVALUE - BANLIC DEPOT,NA,NA,NA,NA,NA,AAW 2546,11,9
7300101635,8020 BCFG MCD,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,CAU2700,11,7
7300101669,8420 South Mega DC,WALTERMART SUPERMARKET - DEPOT,WALTERMART SUPERMARKET - CARMONA,NA,NA,NA,NA,NA,BDG 8369,11,10
7300104505,8070 BCFG Calamba,OCAMPO'S MARKETING INC.-SAN AGUSTIN,OCAMPO'S MARKETING INC.-SAN MIGUEL,NA,NA,NA,NA,NA,NBQ2184,11,11
7300104553,8330 BCFG GMA MEGA DC,SUPER SM - MAKATI,"SM MART, INC. - SM MAKATI",NA,NA,NA,NA,NA,NEG 1011,11,8
7300104819,8060 BCFG Tarlac,OCAMPO'S MARKETING INC.-SAN MIGUEL,OCAMPO'S MARKETING INC.-SAN AGUSTIN,NA,NA,NA,NA,NA,CAC7868,11,9
7300104904,8330 BCFG GMA MEGA DC,SUPERVALUE - NORTH EDSA,"SM MART, INC. - SM NORTH EDSA",NA,NA,NA,NA,NA,APA 4895,11,8
7300105053,8020 BCFG MCD,8350 ELISCO EXPORT,8330 BCFG GMA MEGA DC,NA,NA,NA,NA,NA,JAG 5998,11,9
7300107653,8420 South Mega DC,SUPER SM - MOLINO,MERIDIEN BUSINESS LEADER - SM MOLIN,NA,NA,NA,NA,NA,CO4150,11,12
7300107944,8070 BCFG Calamba,DMAYA PLUS ENTERPRISES-ISABELA,DMAYA PLUS ENTERPRISES-BAYOMBONG,NA,NA,NA,NA,NA,ABK 1717,11,12
7300108105,8070 BCFG Calamba,KIMBERLIN ENTERPRISES - UGAC,KIMBERLIN ENTERPRISES - CAUAYAN,NA,NA,NA,NA,NA,AAV 4455,11,12
7300108126,8070 BCFG Calamba,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,WIV290,11,12
7300108519,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - TAYUMAN,SUPER GROCERS INC. - OLD STA MESA,SUPER GROCERS INC. - P. FLORENTINO,SUPER GROCERS INC. - KALENTONG,SUPER GROCERS INC. - BONI,SUPER GROCERS INC. - BAMBANG,SUPER GROCERS INC. - STA. ANA,TJQ 712,11,10
7300108522,8174 BCFG DC Pinagbuhatan,SUPER GROCERS INC. - PROJECT 8,SUPER GROCERS INC. - NOVALICHES,SUPER GROCERS INC. - TALIPAPA NOVA,SUPER GROCERS INC. - FOREST HILLS,SUPER GROCERS INC. - VETERANS VILL.,NA,NA,AFA 8008,11,10
7300109460,8420 South Mega DC,BICOL EXCL'T SLS & TRADING-LEGASPI,SANFORD MARKETING - LESGAPI 2,SUPERVALUE - LEGAZPI,NA,NA,NA,NA,RNE345,11,11
7300110537,8050 BCFG Pampanga,CSI MAIN,CSI WHSE CLUB INC/CSI CITY MAIN,NA,NA,NA,NA,NA,CAE4687,11,11
7300110709,8420 South Mega DC,SUPERVALUE - CALAMBA,MARKET STRATEGIC FIRM - SM CALAMBA,NA,NA,NA,NA,NA,CAI2402,11,13
7300110739,8420 South Mega DC,SUPERVALUE - ROSARIO CAVITE,MLA SOUTHERN ASS. INC. - SM ROSARIO,NA,NA,NA,NA,NA,ACL2001,11,13
7300110758,8420 South Mega DC,SUPERVALUE - SAN PABLO,MAINSTREAM BUSINESS INC. - SM SAN P,NA,NA,NA,NA,NA,CBJ1275,11,13
7300110768,8090 BCFG San Pablo,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,BVU245,11,13
7300111056,8070 BCFG Calamba,LAOAG SOLID 8 - LAOAG,LAOAG SOLID 8 - CANDON,NA,NA,NA,NA,NA,NBQ2185,11,13
7300111429,8174 BCFG DC Pinagbuhatan,KAREILA MANAGEMENT - FORT,KAREILA MANAGEMENT - C5 LIBIS,NA,NA,NA,NA,NA,TGH 907,11,11
7300112630,8080 BCFG Canlubang,DMAYA PLUS ENTERPRISES-ISABELA,DMAYA PLUS ENTERPRISES-BAYOMBONG,NA,NA,NA,NA,NA,ALA 8129,11,11
7300112632,8420 South Mega DC,SUPERVALUE - BACOOR,MAINSTREAM BUSINESS INC. - SM BACOO,NA,NA,NA,NA,NA,NEG4288,11,14
7300112652,8420 South Mega DC,MADISON SHOPPING PLAZA - SM BATANGA,SUPERVALUE - BATANGAS,NA,NA,NA,NA,NA,CXS 560,11,14
7300112741,8080 BCFG Canlubang,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - BANTAY,NA,NA,NA,NA,NA,CAO2980,11,14
7300112793,8050 BCFG Pampanga,DMAYA PLUS ENTERPRISES-BAYOMBONG,DMAYA PLUS ENTERPRISES-ISABELA,NA,NA,NA,NA,NA,BVU245,11,14
7300112797,8050 BCFG Pampanga,LAOAG SOLID 8 - CANDON,LAOAG SOLID 8 - LAOAG,NA,NA,NA,NA,NA,CAR2704,11,14
7300113252,8420 South Mega DC,SUPERVALUE - LIPA,MERIDIEN BUSINESS LEADER - SM LIPA,NA,NA,NA,NA,NA,CCO 5779,11,13
7300113265,8420 South Mega DC,SUPERVALUE - STA. ROSA,METRO MLA SHOPPING MECCA - SM STA.,NA,NA,NA,NA,NA,ABX 7380,11,14
7300113382,8420 South Mega DC,SUPERVALUE - TRECE MARTIRES,METRO MAIN STAR ASIA - SM TRECE MAR,NA,NA,NA,NA,NA,MV474197,11,14
7300114642,8174 BCFG DC Pinagbuhatan,"PRIME MKTG. AND DIST., INC.","FINEST TRADE MKTNG., INC",NA,NA,NA,NA,NA,AWA 6082,11,12
7300114762,8420 South Mega DC,BICOL EXCL'T SLS & TRADING-LEGASPI,SANFORD MARKETING - BACACAY,SANFORD MARKETING - SORSOGON,SAVEMORE - SORSOGON 2,NA,NA,NA,CAL2655,11,16
7300114803,8420 South Mega DC,SUPER SM - PILI CAMSUR DEPOT,SANFORD MARKETING - PILI,SANFORD MARKETING - PILI CAMSUR DEP,SUPERVALUE - PILI CAMSUR DEPOT,NA,NA,NA,NBH7516,11,16
7300115421,8050 BCFG Pampanga,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,PEOPLE'S DIST. SYSTEM CORP.-DAET,NA,NA,NA,NA,NA,CCO8153,11,13
7300115744,8070 BCFG Calamba,KIMBERLIN ENTERPRISES - UGAC,KIMBERLIN ENTERPRISES - CAUAYAN,NA,NA,NA,NA,NA,BVW 308,11,15
7300117608,8420 South Mega DC,PEOPLE'S DIST. SYSTEM CORP.-DAET,PUREGOLD PRICE CLUB - NAGA,NA,NA,NA,NA,NA,CAJ 5730,11,16
7300121995,8070 BCFG Calamba,BICOL EXCL'T SLS & TRADING-LEGASPI,BICOL EXCL'T SLS & TRADING-SORSOGON,NA,NA,NA,NA,NA,CAL7887,11,16
